time (fs),deltaI
-48.08523209,-0.673367712
-48.14951716,-0.567840091
-48.21380223,-0.457287346
-48.2780873,-0.396985848
-48.34237237,-0.341709475
-48.40665744,-0.306533602
-48.47094251,-0.326634101
-48.53522758,-0.376885349
-48.59951265,-0.47236272
-48.66379772,-0.58794059
-48.72808279,-0.688443086
-48.79236786,-0.783920458
-48.85665293,-0.889448078
-48.920938,-0.969850075
-48.98522307,-1.020101323
-49.04950814,-1.030151573
-49.11379321,-1.010051074
-49.17807828,-0.939699326
-49.24236335,-0.879397829
-49.30664842,-0.798995832
-49.37093349,-0.72361896
-49.43521856,-0.668342587
-49.49950362,-0.58794059
-49.56378869,-0.567840091
-49.62807376,-0.572865216
-49.69235883,-0.59799084
-49.7566439,-0.658292338
-49.82092897,-0.718593835
-49.88521404,-0.788945582
-49.94949911,-0.909548578
-50.01378418,-1.010051074
-50.07806925,-1.125628944
-50.14235432,-1.195980691
-50.20663939,-1.266332438
-50.27092446,-1.291458062
-50.33520953,-1.331659061
-50.3994946,-1.336684186
-50.46377967,-1.311558562
-50.52806474,-1.271357563
-50.59234981,-1.231156565
-50.65663488,-1.175880192
-50.72091995,-1.130654069
-50.78520502,-1.085427946
-50.84949009,-1.045226947
-50.91377516,-1.030151573
-50.97806023,-1.050252072
-51.0423453,-1.050252072
-51.10663037,-1.11055357
-51.17091544,-1.175880192
-51.23520051,-1.251257064
-51.29948557,-1.336684186
-51.36377064,-1.432161557
-51.42805571,-1.492463054
-51.49234078,-1.527638928
-51.55662585,-1.527638928
-51.62091092,-1.507538429
-51.68519599,-1.447236931
-51.74948106,-1.396985683
-51.81376613,-1.296483187
-51.8780512,-1.206030941
-51.94233627,-1.10050332
-52.00662134,-1.030151573
-52.07090641,-0.994975699
-52.13519148,-0.9748752
-52.19947655,-0.96482495
-52.26376162,-1.000000824
-52.32804669,-1.055277197
-52.39233176,-1.140704318
-52.45661683,-1.241206814
-52.5209019,-1.316583686
-52.58518697,-1.386935434
-52.64947204,-1.407035933
-52.71375711,-1.427136432
-52.77804218,-1.422111307
-52.84232725,-1.35175956
-52.90661232,-1.271357563
-52.97089739,-1.155779693
-53.03518246,-1.050252072
-53.09946752,-0.939699326
-53.16375259,-0.824121456
-53.22803766,-0.738694334
-53.29232273,-0.673367712
-53.3566078,-0.628141589
-53.42089287,-0.613066214
-53.48517794,-0.618091339
-53.54946301,-0.653267213
-53.61374808,-0.698493336
-53.67803315,-0.748744584
-53.74231822,-0.798995832
-53.80660329,-0.854272205
-53.87088836,-0.889448078
-53.93517343,-0.924623952
-53.9994585,-0.929649077
-54.06374357,-0.904523453
-54.12802864,-0.85929733
-54.19231371,-0.804020957
-54.25659878,-0.743719459
-54.32088385,-0.668342587
-54.38516892,-0.59799084
-54.44945399,-0.532664218
-54.51373906,-0.467337595
-54.57802413,-0.447237096
-54.6423092,-0.417086347
-54.70659427,-0.412061222
-54.77087934,-0.427136597
-54.83516441,-0.48241297
-54.89944947,-0.542714467
-54.96373454,-0.613066214
-55.02801961,-0.703518461
-55.09230468,-0.778895333
-55.15658975,-0.83919683
-55.22087482,-0.899498328
-55.28515989,-0.909548578
-55.34944496,-0.904523453
-55.41373003,-0.864322454
-55.4780151,-0.84924708
-55.54230017,-0.773870208
-55.60658524,-0.708543586
-55.67087031,-0.663317462
-55.73515538,-0.60804109
-55.79944045,-0.567840091
-55.86372552,-0.58794059
-55.92801059,-0.603015965
-55.99229566,-0.668342587
-56.05658073,-0.758794834
-56.1208658,-0.854272205
-56.18515087,-0.979900325
-56.24943594,-1.065327446
-56.31372101,-1.175880192
-56.37800608,-1.251257064
-56.44229115,-1.306533437
-56.50657622,-1.34170931
-56.57086129,-1.34170931
-56.63514636,-1.331659061
-56.69943142,-1.291458062
-56.76371649,-1.256282189
-56.82800156,-1.195980691
-56.89228663,-1.150754568
-56.9565717,-1.150754568
-57.02085677,-1.120603819
-57.08514184,-1.145729443
-57.14942691,-1.190955566
-57.21371198,-1.266332438
-57.27799705,-1.34170931
-57.34228212,-1.412061058
-57.40656719,-1.482412805
-57.47085226,-1.542714302
-57.53513733,-1.618091174
-57.5994224,-1.653267048
-57.66370747,-1.683417797
-57.72799254,-1.668342422
-57.79227761,-1.643216798
-57.85656268,-1.587940426
-57.92084775,-1.537689178
-57.98513282,-1.442211806
-58.04941789,-1.396985683
-58.11370296,-1.311558562
-58.17798803,-1.231156565
-58.2422731,-1.190955566
-58.30655817,-1.140704318
-58.37084324,-1.10050332
-58.43512831,-1.11055357
-58.49941337,-1.115578694
-58.56369844,-1.150754568
-58.62798351,-1.170855067
-58.69226858,-1.195980691
-58.75655365,-1.23618169
-58.82083872,-1.251257064
-58.88512379,-1.271357563
-58.94940886,-1.256282189
-59.01369393,-1.231156565
-59.077979,-1.160804818
-59.14226407,-1.10050332
-59.20654914,-1.005025949
-59.27083421,-0.914573702
-59.33511928,-0.814071206
-59.39940435,-0.708543586
-59.46368942,-0.628141589
-59.52797449,-0.567840091
-59.59225956,-0.527639093
-59.65654463,-0.512563718
-59.7208297,-0.512563718
-59.78511477,-0.557789842
-59.84939984,-0.623116464
-59.91368491,-0.673367712
-59.97796998,-0.738694334
-60.04225505,-0.793970707
-60.10654012,-0.829146581
-60.17082519,-0.834171706
-60.23511026,-0.809046082
-60.29939532,-0.763819958
-60.36368039,-0.71356871
-60.42796546,-0.633166714
-60.49225053,-0.532664218
-60.5565356,-0.46231247
-60.62082067,-0.402010973
-60.68510574,-0.351759725
-60.74939081,-0.316583851
-60.81367588,-0.321608976
-60.87796095,-0.351759725
-60.94224602,-0.417086347
-61.00653109,-0.502513469
-61.07081616,-0.572865216
-61.13510123,-0.663317462
-61.1993863,-0.748744584
-61.26367137,-0.793970707
-61.32795644,-0.874372704
-61.39224151,-0.879397829
-61.45652658,-0.889448078
-61.52081165,-0.869347579
-61.58509672,-0.834171706
-61.64938179,-0.814071206
-61.71366686,-0.778895333
-61.77795193,-0.748744584
-61.842237,-0.703518461
-61.90652207,-0.693468211
-61.97080714,-0.693468211
-62.03509221,-0.73366921
-62.09937727,-0.758794834
-62.16366234,-0.809046082
