time (fs),deltaI
-8.041924859,-0.418844222
-8.108389083,-0.448994976
-8.174853308,-0.474120605
-8.241317532,-0.494221108
-8.307781757,-0.508040204
-8.374245981,-0.515577892
-8.440710206,-0.518090455
-8.507174431,-0.518090455
-8.573638655,-0.515577892
-8.64010288,-0.515577892
-8.706567104,-0.511809048
-8.773031329,-0.510552767
-8.839495553,-0.508040204
-8.905959778,-0.505527641
-8.972424002,-0.50427136
-9.038888227,-0.503015078
-9.105352451,-0.500502515
-9.171816676,-0.494221108
-9.238280901,-0.489195982
-9.304745125,-0.480402012
-9.37120935,-0.466582916
-9.437673574,-0.450251258
-9.504137799,-0.425125629
-9.570602023,-0.398743719
-9.637066248,-0.366080401
-9.703530472,-0.332160802
-9.769994697,-0.293216078
-9.836458921,-0.250502509
-9.902923146,-0.205276377
-9.969387371,-0.158793964
-10.0358516,-0.116080395
-10.10231582,-0.073366826
-10.16878004,-0.034422101
-10.23524427,0.003266342
-10.30170849,0.038442223
-10.36817272,0.068592977
-10.43463694,0.093718606
-10.50110117,0.120100516
-10.56756539,0.147738708
-10.63402962,0.179145744
-10.70049384,0.213065343
-10.76695807,0.249497504
-10.83342229,0.289698511
-10.89988651,0.33241208
-10.96635074,0.377638211
-11.03281496,0.422864343
-11.09927919,0.461809068
-11.16574341,0.494472385
-11.23220764,0.523366858
-11.29867186,0.543467361
-11.36513609,0.556030176
-11.43160031,0.558542739
-11.49806454,0.554773894
-11.56452876,0.545979924
-11.63099298,0.53341711
-11.69745721,0.522110577
-11.76392143,0.503266355
-11.83038566,0.486934697
-11.89684988,0.468090475
-11.96331411,0.454271379
-12.02977833,0.43793972
-12.09624256,0.425376906
-12.16270678,0.41155781
-12.22917101,0.392713589
-12.29563523,0.373869367
-12.36209945,0.35000002
-12.42856368,0.326130672
-12.4950279,0.292211073
-12.56149213,0.250753786
-12.62795635,0.204271373
-12.69442058,0.155276396
-12.7608848,0.105025139
-12.82734903,0.052261318
-12.89381325,0.000753779
-12.96027748,-0.052010041
-13.0267417,-0.098492454
-13.09320592,-0.141206023
-13.15967015,-0.177638185
-13.22613437,-0.210301503
-13.2925986,-0.239195976
-13.35906282,-0.264321604
-13.42552705,-0.284422108
-13.49199127,-0.302010048
-13.5584555,-0.320854269
-13.62491972,-0.344723617
-13.69138395,-0.369849245
-13.75784817,-0.398743719
-13.82431239,-0.42638191
-13.89077662,-0.456532665
-13.95724084,-0.486683419
-14.02370507,-0.515577892
-14.09016929,-0.543216084
-14.15663352,-0.563316587
-14.22309774,-0.577135683
-14.28956197,-0.587185935
-14.35602619,-0.589698497
-14.42249042,-0.590954779
-14.48895464,-0.582160809
-14.55541886,-0.570854276
-14.62188309,-0.555778899
-14.68834731,-0.540703521
-14.75481154,-0.525628144
-14.82127576,-0.511809048
-14.88773999,-0.496733671
-14.95420421,-0.482914575
-15.02066844,-0.471608042
-15.08713266,-0.457788946
-15.15359689,-0.44396985
-15.22006111,-0.425125629
-15.28652533,-0.401256281
-15.35298956,-0.371105527
-15.41945378,-0.339698491
-15.48591801,-0.303266329
-15.55238223,-0.264321604
-15.61884646,-0.219095473
-15.68531068,-0.173869341
-15.75177491,-0.126130646
-15.81823913,-0.079648233
-15.88470336,-0.03316582
-15.95116758,0.012060312
-16.0176318,0.054773881
-16.08409603,0.091206043
-16.15056025,0.12386936
-16.21702448,0.154020115
-16.2834887,0.177889462
-16.34995293,0.203015091
-16.41641715,0.223115594
-16.48288138,0.243216097
-16.5493456,0.259547756
-16.61580983,0.279648259
-16.68227405,0.301005044
-16.74873827,0.326130672
-16.8152025,0.351256301
-16.88166672,0.375125648
-16.94813095,0.397738714
-17.01459517,0.419095499
-17.0810594,0.439196002
-17.14752362,0.454271379
-17.21398785,0.464321631
-17.28045207,0.469346756
-17.3469163,0.465577912
-17.41338052,0.460552786
-17.47984474,0.449246253
-17.54630897,0.432914595
-17.61277319,0.41155781
-17.67923742,0.390201026
-17.74570164,0.370100523
-17.81216587,0.352512583
-17.87863009,0.334924642
-17.94509432,0.318592984
-18.01155854,0.301005044
-18.07802277,0.285929666
-18.14448699,0.270854289
-18.21095121,0.253266349
-18.27741544,0.231909564
-18.34387966,0.206783936
-18.41034389,0.179145744
-18.47680811,0.148994989
-18.54327234,0.117587953
-18.60973656,0.07989951
-18.67620079,0.038442223
-18.74266501,-0.003015065
-18.80912924,-0.045728634
-18.87559346,-0.08592964
-18.94205768,-0.123618083
-19.00852191,-0.160050245
-19.07498613,-0.193969844
-19.14145036,-0.222864317
-19.20791458,-0.244221101
-19.27437881,-0.263065323
-19.34084303,-0.2781407
-19.40730726,-0.291959796
-19.47377148,-0.305778892
-19.54023571,-0.317085425
-19.60669993,-0.328391958
-19.67316415,-0.342211054
-19.73962838,-0.359798994
-19.8060926,-0.379899497
-19.87255683,-0.401256281
-19.93902105,-0.421356784
-20.00548528,-0.440201006
-20.0719495,-0.459045228
-20.13841373,-0.474120605
-20.20487795,-0.485427138
-20.27134218,-0.487939701
-20.3378064,-0.485427138
-20.40427062,-0.476633168
-20.47073485,-0.464070353
-20.53719907,-0.445226132
-20.6036633,-0.420100503
-20.67012752,-0.392462311
-20.73659175,-0.366080401
-20.80305597,-0.338442209
-20.8695202,-0.313316581
-20.93598442,-0.293216078
-21.00244865,-0.273115575
-21.06891287,-0.255527634
-21.13537709,-0.240452257
-21.20184132,-0.229145724
-21.26830554,-0.21658291
-21.33476977,-0.202763814
-21.40123399,-0.186432155
-21.46769822,-0.167587934
-21.53416244,-0.147487431
-21.60062667,-0.123618083
-21.66709089,-0.097236173
-21.73355512,-0.067085418
-21.80001934,-0.036934664
-21.86648356,-0.006783909
-21.93294779,0.022110564
-21.99941201,0.048492474
-22.06587624,0.073618103
-22.13234046,0.096231169
-22.19880469,0.11507539
-22.26526891,0.128894486
-22.33173314,0.140201019
-22.39819736,0.150251271
-22.46466159,0.159045241
-22.53112581,0.166582929
-22.59759003,0.171608055
-22.66405426,0.180402025
-22.73051848,0.191708558
-22.79698271,0.205527654
-22.86344693,0.223115594
-22.92991116,0.241959816
-22.99637538,0.259547756
-23.06283961,0.274623133
-23.12930383,0.288442229
-23.19576806,0.299748762
-23.26223228,0.306030169
-23.3286965,0.304773888
-23.39516073,0.298492481
-23.46162495,0.287185948
-23.52808918,0.269598008
-23.5945534,0.249497504
-23.66101763,0.226884439
-23.72748185,0.204271373
-23.79394608,0.181658307
-23.8604103,0.162814085
-23.92687453,0.148994989
