time,field,ref,writeheader
-98.56427378964939,-5.00905325654708e-7,-4.0541963654905834e-92 + 0.0im,false
-98.03005008347246,-5.003761587935321e-7,-3.049030789302467e-91 + 0.0im,false
-97.49582637729549,-4.914779611936484e-7,-1.0616176747753567e-90 + 0.0im,false
-96.96160267111851,-4.707788304437861e-7,1.1118301001375975e-89 + 0.0im,false
-96.42737896494158,-4.426558984202654e-7,2.669861420906782e-88 + 0.0im,false
-95.89315525876461,-4.2069326590826446e-7,3.1279271288531666e-87 + 0.0im,false
-95.35893155258763,-4.1584639336633206e-7,2.4757838014216922e-86 + 0.0im,false
-94.8247078464107,-4.322013683760306e-7,1.1192048708209058e-85 + 0.0im,false
-94.2904841402337,-4.723634857731017e-7,-3.415810857230391e-85 + 0.0im,false
-93.75626043405674,-5.308530236503227e-7,-1.3780934338562946e-83 + 0.0im,false
-93.2220367278798,-5.909095762807459e-7,-1.7239525643763647e-82 + 0.0im,false
-92.68781302170282,-6.310225680228177e-7,-1.4227967437119234e-81 + 0.0im,false
-92.15358931552585,-6.291555842407601e-7,-7.420269146974738e-81 + 0.0im,false
-91.61936560934892,-5.636845992833069e-7,-1.7308966829398498e-81 + 0.0im,false
-91.08514190317194,-4.2183890211428064e-7,4.9168826545941617e-79 + 0.0im,false
-90.55091819699497,-2.3000937805653786e-7,6.777978705265189e-78 + 0.0im,false
-90.01669449081804,-8.258361874947636e-8,5.818432688375683e-77 + 0.0im,false
-89.48247078464107,-9.575659830898155e-8,3.3179551179741064e-76 + 0.0im,false
-88.94824707846409,-3.046365495375489e-7,6.700426875763824e-76 + 0.0im,false
-88.41402337228716,-6.381381598351691e-7,-1.1728025120716895e-74 + 0.0im,false
-87.87979966611019,-9.909870521764418e-7,-1.894754426106498e-73 + 0.0im,false
-87.34557595993321,-1.2671018730975981e-6,-1.6980512791234915e-72 + 0.0im,false
-86.81135225375627,-1.3498810004288916e-6,-1.0296532849687054e-71 + 0.0im,false
-86.27712854757931,-1.0837042274823563e-6,-3.193026954251176e-71 + 0.0im,false
-85.74290484140234,-3.382852821801737e-7,1.7153719551456356e-70 + 0.0im,false
-85.20868113522539,8.297734142572326e-7,3.743231585710333e-69 + 0.0im,false
-84.67445742904843,2.0083153021730735e-6,3.5403940704137543e-68 + 0.0im,false
-84.14023372287146,2.5085546294501295e-6,2.249392646544586e-67 + 0.0im,false
-83.60601001669451,1.7700933463436027e-6,8.551052247392507e-67 + 0.0im,false
-83.07178631051752,-3.223377259640851e-7,-1.0400936888030726e-66 + 0.0im,false
-82.53756260434055,-3.3961274885858204e-6,-5.169385311074527e-65 + 0.0im,false
-82.00333889816362,-6.557567432139995e-6,-5.271342705543946e-64 + 0.0im,false
-81.46911519198665,-8.437981476769593e-6,-3.486369577247613e-63 + 0.0im,false
-80.93489148580967,-7.4895966752213485e-6,-1.4916119344079955e-62 + 0.0im,false
-80.40066777963273,-2.531207592665675e-6,-1.2072072489559368e-62 + 0.0im,false
-79.86644407345577,6.370334383847192e-6,4.8872133747087796e-61 + 0.0im,false
-79.3322203672788,1.686886804204289e-5,5.59329081354547e-60 + 0.0im,false
-78.79799666110183,2.4221066807917265e-5,3.850281872590319e-59 + 0.0im,false
-78.26377295492489,2.3180196204254343e-5,1.7786042460658757e-58 + 0.0im,false
-77.7295492487479,1.1170805727743602e-5,3.494366356205336e-58 + 0.0im,false
-77.19532554257093,-9.706713053854331e-6,-3.020455193637906e-57 + 0.0im,false
-76.66110183639397,-3.3404508525792575e-5,-4.211815507212559e-56 + 0.0im,false
-76.12687813021701,-5.1934125786373506e-5,-3.036364242753446e-55 + 0.0im,false
-75.59265442404005,-5.663070697302016e-5,-1.4814324180251708e-54 + 0.0im,false
-75.0584307178631,-3.9469069763881105e-5,-3.9769557352598734e-54 + 0.0im,false
-74.52420701168613,3.317934882231313e-6,1.063137548206607e-53 + 0.0im,false
-73.98998330550917,6.484512751265988e-5,2.233793303275459e-52 + 0.0im,false
-73.45575959933223,0.00012304862355624958,1.7107135264608595e-51 + 0.0im,false
-72.92153589315525,0.0001467439675571589,8.716673633955021e-51 + 0.0im,false
-72.38731218697828,0.00011322163516001893,2.7545891950198795e-50 + 0.0im,false
-71.85308848080133,2.3386618965132864e-5,-6.518932160733162e-51 + 0.0im,false
-71.31886477462437,-9.8044924744803e-5,-8.229928062562293e-49 + 0.0im,false
-70.78464106844741,-0.00021227632320012328,-6.878954891539767e-48 + 0.0im,false
-70.25041736227045,-0.0002754013882588752,-3.64586050007456e-47 + 0.0im,false
-69.7161936560935,-0.0002459655408928966,-1.2723358264337466e-46 + 0.0im,false
-69.18196994991654,-9.819149061786501e-5,-1.3225879546638878e-46 + 0.0im,false
-68.64774624373956,0.00015476627839083437,2.049105460103139e-45 + 0.0im,false
-68.1135225375626,0.000438487448198963,1.9687230131023333e-44 + 0.0im,false
-67.57929883138564,0.0006258279576519436,1.0876921617815257e-43 + 0.0im,false
-67.0450751252087,0.0005943414268075457,4.057722544478329e-43 + 0.0im,false
-66.51085141903172,0.0002997330534042641,7.28782835909917e-43 + 0.0im,false
-65.97662771285476,-0.0001916361236652331,-3.22625229278141e-42 + 0.0im,false
-65.44240400667782,-0.0007261987933369317,-3.989125308935843e-41 + 0.0im,false
-64.90818030050085,-0.001109886337047914,-2.3180074866122192e-40 + 0.0im,false
-64.37395659432386,-0.0011516653648654144,-9.08541666771654e-40 + 0.0im,false
-63.83973288814691,-0.0007142424651875383,-2.0706420962223192e-39 + 0.0im,false
-63.305509181969946,0.00020616253074450254,2.513668309161771e-39 + 0.0im,false
-62.771285475792986,0.0013887220928751217,5.668954940531929e-38 + 0.0im,false
-62.237061769616034,0.002375571780233767,3.5285715201592285e-37 + 0.0im,false
-61.70283806343907,0.0026365456859105177,1.4410789746072323e-36 + 0.0im,false
-61.1686143572621,0.0018608182937676137,3.752865442909307e-36 + 0.0im,false
-60.634390651085155,0.00015954395787989064,9.871693121489736e-37 + 0.0im,false
-60.10016694490819,-0.0019648715766445064,-5.551272496508846e-35 + 0.0im,false
-59.565943238731194,-0.003804213499991714,-3.8304553306008407e-34 + 0.0im,false
-59.03171953255425,-0.004633639880811306,-1.6273664469406353e-33 + 0.0im,false
-58.49749582637729,-0.0038721786518916045,-4.61157339442389e-33 + 0.0im,false
-57.963272120200315,-0.0012948192976972566,-4.9845130824062656e-33 + 0.0im,false
-57.42904841402337,0.002676240645916706,3.60865886334217e-32 + 0.0im,false
-56.89482470784641,0.006789167101772753,2.9546672247065318e-31 + 0.0im,false
-56.36060100166944,0.009240457800377086,1.311804272612907e-30 + 0.0im,false
-55.82637729549248,0.008516962963882133,3.942614722115705e-30 + 0.0im,false
-55.292153589315525,0.004301021363660527,6.2349601746950446e-30 + 0.0im,false
-54.75792988313855,-0.0022604463348350804,-1.407590999416636e-29 + 0.0im,false
-54.22370617696159,-0.009035462754567302,-1.6088763617568228e-28 + 0.0im,false
-53.68948247078465,-0.01364495191927467,-7.554774051034434e-28 + 0.0im,false
-53.15525876460767,-0.014068161888483586,-2.3760164910482155e-27 + 0.0im,false
-52.621035058430714,-0.009177021901113618,-4.533347181819475e-27 + 0.0im,false
-52.08681135225377,0.0006008536936508074,1.9282767933023033e-27 + 0.0im,false
-51.552587646076795,0.012683131273363516,6.111467237209437e-26 + 0.0im,false
-51.01836393989983,0.02256179429502182,3.1064666460938026e-25 + 0.0im,false
-50.484140233722876,0.025474180633460172,1.0166484992236666e-24 + 0.0im,false
-49.94991652754591,0.01887311581437641,2.1671967766250764e-24 + 0.0im,false
-49.41569282136895,0.004008431758202231,1.0681836413362957e-24 + 0.0im,false
-48.881469115192,-0.014440332279535001,-1.582692360947927e-23 + 0.0im,false
-48.34724540901503,-0.030153989182300677,-9.099247882979966e-23 + 0.0im,false
-47.81302170283807,-0.03714532288066476,-3.1008136622003245e-22 + 0.0im,false
-47.27879799666112,-0.031344174034622155,-7.109716670355827e-22 + 0.0im,false
-46.74457429048416,-0.012103374525997385,-7.282685022467774e-22 + 0.0im,false
-46.210350584307164,0.016331997494889908,2.65207310003385e-21 + 0.0im,false
-45.67612687813021,0.0445749199965428,1.889998392373818e-20 + 0.0im,false
-45.14190317195325,0.060743863559606155,6.754464477482435e-20 + 0.0im,false
-44.607679465776286,0.055883671648034705,1.6324056130143543e-19 + 0.0im,false
-44.073455759599334,0.02900269067011419,2.2175897892153635e-19 + 0.0im,false
-43.539232053422374,-0.011915575816712489,-2.4342608584134574e-19 + 0.0im,false
-43.005008347245415,-0.05321018016198905,-2.7611066496888125e-18 + 0.0im,false
-42.47078464106846,-0.08036566738822247,-1.0511099101994919e-17 + 0.0im,false
-41.93656093489147,-0.08210902828133722,-2.650526367772229e-17 + 0.0im,false
-41.40233722871451,-0.053649243870177034,-4.1897861713905467e-17 + 0.0im,false
-40.868113522537556,0.00042928774205719367,3.953664211806951e-19 + 0.0im,false
-40.33388981636059,0.06465213347558227,2.794736280499019e-16 + 0.0im,false
-39.79966611018362,0.11546377018381423,1.1671160727145033e-15 + 0.0im,false
-39.26544240400668,0.13005186245111738,3.061076340865989e-15 + 0.0im,false
-38.73121869782972,0.0976400814876807,5.313398994477502e-15 + 0.0im,false
-38.196994991652744,0.02595528358191588,3.0436325390336214e-15 + 0.0im,false
-37.66277128547579,-0.061452706269440396,-1.900878958844233e-14 + 0.0im,false
-37.128547579298825,-0.13454726269851633,-9.218563088941316e-14 + 0.0im,false
-36.59432387312186,-0.16682167388016972,-2.522333657761677e-13 + 0.0im,false
-36.06010016694491,-0.1426805820830009,-4.666229663856456e-13 + 0.0im,false
-35.525876460767954,-0.0628384672308184,-4.303068136401334e-13 + 0.0im,false
-34.99165275459098,0.052168782387018206,8.047916433100779e-13 + 0.0im,false
-34.45742904841402,0.16405661199339958,5.150175587466528e-12 + 0.0im,false
-33.923205342237075,0.22857998850482134,1.4847996952349333e-11 + 0.0im,false
-33.3889816360601,0.21466856981506358,2.8814321407680642e-11 + 0.0im,false
-32.85475792988313,0.12040987490954673,3.305002950756501e-11 + 0.0im,false
-32.32053422370619,-0.024599315607331498,-1.550580536960792e-11 + 0.0im,false
-31.786310517529216,-0.1710800137752165,-2.0144221932761933e-10 + 0.0im,false
-31.252086811352253,-0.2677725200826488,-6.24244662193704e-10 + 0.0im,false
-30.71786310517531,-0.27718781215081095,-1.2615440150264106e-9 + 0.0im,false
-30.183639398998338,-0.18686244117214285,-1.6391176797687549e-9 + 0.0im,false
-29.64941569282138,-0.01629942487205908,-3.2287160578793886e-10 + 0.0im,false
-29.115191986644422,0.1826913375819989,5.410612509997811e-9 + 0.0im,false
-28.580968280467435,0.3380496841890826,1.8709205888892407e-8 + 0.0im,false
-28.04674457429047,0.38418552729007066,3.93418165252504e-8 + 0.0im,false
-27.51252086811352,0.2930611009265198,5.537615322776758e-8 + 0.0im,false
-26.978297161936556,0.09021054402860787,3.167992501593062e-8 + 0.0im,false
-26.444073455759593,-0.1553366810406417,-9.570385603705855e-8 + 0.0im,false
-25.90984974958264,-0.35909864226472404,-3.9817033127355025e-7 + 0.0im,false
-25.375626043405678,-0.44978673012045395,-8.759589716244324e-7 + 0.0im,false
-24.84140233722872,-0.389194005979591,-1.3045820351200592e-6 + 0.0im,false
-24.307178631051737,-0.18430669298629218,-1.0488772932883642e-6 + 0.0im,false
-23.772954924874774,0.10793644891790036,9.893767632376104e-7 + 0.0im,false
-23.23873121869781,0.39016464405202544,5.974667312119244e-6 + 0.0im,false
-22.70450751252086,0.5555084990708269,1.3934229259775032e-5 + 0.0im,false
-22.170283806343896,0.53211544779921,2.1691131518433998e-5 + 0.0im,false
-21.636060100166937,0.31757753431749275,2.074441465551229e-5 + 0.0im,false
-21.10183639398998,-0.017359226705988155,-2.7254487976580917e-6 + 0.0im,false
-20.56761268781302,-0.357013751684754,-6.240169310419722e-5 + 0.0im,false
-20.033388981636058,-0.5840632807570905,-0.00015822899302467302 + 0.0im,false
-19.499165275459095,-0.6176260998276938,-0.00025624020503208243 + 0.0im,false
-18.964941569282132,-0.4368192467804025,-0.00027197780063640035 + 0.0im,false
-18.430717863105173,-0.09028353487807646,-7.775649767023809e-5 + 0.0im,false
-17.896494156928217,0.3112041614972614,0.00044228459796188274 + 0.0im,false
-17.362270450751257,0.6259531284462496,0.0012793302911893191 + 0.0im,false
-16.828046744574284,0.7330626043808773,0.002158502184675967 + 0.0im,false
-16.293823038397342,0.5839618688984834,0.0024556407931159577 + 0.0im,false
-15.759599332220379,0.22571957869239972,0.0013032188301884808 + 0.0im,false
-15.225375626043398,-0.21765766002491124,-0.0020044551898782906 + 0.0im,false
-14.691151919866455,-0.5931628625353234,-0.007328758616113084 + 0.0im,false
-14.156928213689493,-0.7713850571116606,-0.012987452884704341 + 0.0im,false
-13.622704507512521,-0.6864541309082194,-0.01554506442032492 + 0.0im,false
-13.088480801335558,-0.3565707364604975,-0.010663381831950697 + 0.0im,false
-12.554257095158615,0.11684251524667193,0.00473448119932335 + 0.0im,false
-12.020033388981645,0.5740288197896537,0.029484053365543616 + 0.0im,false
-11.485809682804682,0.8473935076161108,0.05582201910720703 + 0.0im,false
-10.95158597662771,0.8277609306962049,0.06965877391746698 + 0.0im,false
-10.417362270450738,0.5154291041001696,0.05502470315000447 + 0.0im,false
-9.883138564273777,0.021746827299661806,0.0024155991294694187 + 0.0im,false
-9.348914858096833,-0.47964653806183094,-0.08194539624317032 + 0.0im,false
-8.814691151919861,-0.8186537411410628,-0.17114680285723574 + 0.0im,false
-8.280467445742909,-0.8813722142200215,-0.22214392808737618 + 0.0im,false
-7.746243739565956,-0.6407048705311683,-0.1916916002833151 + 0.0im,false
-7.212020033388985,-0.16559973501713326,-0.05944182806232226 + 0.0im,false
-6.6777963272120315,0.3917491075088645,0.1520720657089637 + 0.0im,false
-6.143572621035051,0.8359526084272806,0.373045224543305 + 0.0im,false
-5.60934891485808,0.9977949206436054,0.5055859449154501 + 0.0im,false
-5.0751252086811265,0.8096013063604773,0.46368678171944416 + 0.0im,false
-4.540901502504164,0.3397335651925736,0.21867915207866503 + 0.0im,false
-4.006677796327202,-0.2397312690875722,-0.17241017402019754 + 0.0im,false
-3.4724540901502494,-0.7278261462417731,-0.5745244765606581 + 0.0im,false
-2.938230383973278,-0.9651182234824207,-0.822081326553733 + 0.0im,false
-2.404006677796325,-0.8757567161718882,-0.7897868227275573 + 0.0im,false
-1.8697829716193628,-0.4839861978888731,-0.45519179586925096 + 0.0im,false
-1.3355592654423913,0.08904889259636929,0.07899530158594506 + 0.0im,false
-0.8013355592654385,0.6516214898988124,0.6182947998240539 + 0.0im,false
-0.2671118530884858,0.999861113112118,0.9545316445426917 + 0.0im,false
0.2671118530884858,1.0,0.9545316445426917 + 0.0im,false
0.8013355592654385,0.651960228219627,0.6182947998240539 + 0.0im,false
1.3355592654423913,0.08941651682991167,0.07899530158594506 + 0.0im,false
1.8697829716193628,-0.4837299062397958,-0.45519179586925096 + 0.0im,false
2.404006677796316,-0.8756579931412942,-0.789786822727554 + 0.0im,false
2.9382303839732686,-0.9651674880867781,-0.8220813265537352 + 0.0im,false
3.47245409015024,-0.7280152587089487,-0.5745244765606643 + 0.0im,false
4.0066777963271925,-0.2400395396404632,-0.17241017402020514 + 0.0im,false
4.540901502504183,0.33939469321287385,0.21867915207867653 + 0.0im,false
5.075125208681155,0.8093820274074522,0.4636867817194519 + 0.0im,false
5.609348914858107,0.9978119148832292,0.505585944915447 + 0.0im,false
