time,field
-86.589701658,0.1144908544740588 + 0.10339913486217059im
-86.525703358,0.10747672566066682 + 0.11136238029745858im
-86.46170505799999,0.09990630873181912 + 0.11885633022129076im
-86.39770674799999,0.09181034751440834 + 0.12584183488559209im
-86.333708448,0.08322237361669688 + 0.13228169277084076im
-86.269710148,0.07417858963730803 + 0.13814085262572304im
-86.20571184799999,0.06471773736147322 + 0.14338660919694118im
-86.141713548,0.05488095121024484 + 0.14798879149600938im
-86.07771524799999,0.044711597300641115 + 0.15191994245204576im
-86.013716948,0.034255098568317474 + 0.15515548880946636im
-85.949718638,0.02355874649866589 + 0.15767390014734936im
-85.885720338,0.01267150010653532 + 0.15945683592322124im
-85.82172203799999,0.0016437728983057578 + 0.16048927947825278im
-85.757723738,-0.00947279135790692 + 0.1607596579833472im
-85.693725438,-0.020625553138344885 + 0.16025994735636026im
-85.62972713799999,-0.03176112094364961 + 0.15898576123957983im
-85.565728838,-0.04282560326748342 + 0.1569364231934584im
-85.50173053799999,-0.053764867589866164 + 0.15411502133718263im
-85.437732228,-0.06452480515810562 + 0.1505284447486632im
-85.373733928,-0.07505160025089404 + 0.1461874010255562im
-85.309735628,-0.08529200256046443 + 0.14110641450452252im
-85.24573732799999,-0.09519360127428253 + 0.13530380473759077im
-85.181739028,-0.10470509939220093 + 0.12880164493161317im
-85.117740728,-0.11377658677784754 + 0.12162570016877558im
-85.05374242799999,-0.12235981041478168 + 0.11380534534223545im
-84.989744128,-0.13040844031903018 + 0.10537346286048531im
-84.925745818,-0.1378783295504079 + 0.09636632029618589im
-84.861747518,-0.14472776676581436 + 0.08682342827916692im
-84.79774921799999,-0.15091771976871501 + 0.07678737905819731im
-84.733750918,-0.15641206853041492 + 0.06630366628111246im
-84.66975261799999,-0.1611778261905902 + 0.05542048666705206im
-84.605754318,-0.16518534658684467 + 0.04418852436700951im
-84.541756018,-0.1684085169157402 + 0.03266071892871616im
-84.47775771799999,-0.17082493419061817 + 0.02089201789817106im
-84.41375940799999,-0.17241606423436118 + 0.008939115201993454im
-84.349761108,-0.17316738202770088 - 0.0031398234386543853im
-84.285762808,-0.1730684923253562 - 0.015285446711398825im
-84.22176450799999,-0.17211322955271072 - 0.027437514088599534im
-84.157766208,-0.17029973610434546 - 0.039535200845527564im
-84.09376790799999,-0.16763051828192604 - 0.051517410113119444im
-84.029769608,-0.1641124792319924 - 0.06332309028951032im
-83.96577129799999,-0.15975692837338887 - 0.0748915560761529im
-83.901772998,-0.15457956693858188 - 0.08616281135624476im
-83.83777469799999,-0.14860044939209185 - 0.09707787209587651im
-83.773776398,-0.14184392063182988 - 0.10757908742220752im
-83.709778098,-0.13433852902432383 - 0.11761045701839117im
-83.64577979799999,-0.12611691547170273 - 0.12711794297216458im
-83.581781498,-0.11721567885587625 - 0.13604977422416245im
-83.51778319799999,-0.10767521835261343 - 0.1443567417831798im
-83.453784888,-0.09753955325416672 - 0.15199248290880946im
-83.38978658799999,-0.08685612108271083 - 0.15891375250700981im
-83.325788288,-0.07567555491715396 - 0.16508068004105234im
-83.26178998799999,-0.06405144099185815 - 0.17045701032868607im
-83.197791688,-0.05204005775650296 - 0.1750103266758959im
-83.133793388,-0.039700097710812086 - 0.17871225488788633im
-83.06979508799999,-0.027092373445242703 - 0.1815386467983938im
-83.005796788,-0.01427950942815288 - 0.1834697420685188im
-82.941798478,-0.0013256211806174597 - 0.18449030712533213im
-82.877800178,0.011704016428788733 - 0.18458975023780863im
-82.81380187799999,0.024743309955965825 - 0.18376221186239886im
-82.749803578,0.03772569533659243 - 0.18200662953191385im
-82.68580527799999,0.05058449108252252 - 0.17932677670848013im
-82.621806978,0.06325325473004892 - 0.1757312751731779im
-82.557808678,0.07566614051600358 - 0.1712335806806301im
-82.493810368,0.08775825623537638 - 0.16585194176525472im
-82.42981206799999,0.09946601722454587 - 0.15960933174610273im
-82.365813768,0.11072749541748655 - 0.1525333541381168im
-82.301815468,0.1214827614384651 - 0.1446561218382302im
-82.23781716799999,0.1316742177237331 - 0.1360141106139045im
-82.173818868,0.1412469207064164 - 0.12664798757843795im
