time,field
222.10491559999997,-0.03441919514413501 + 0.01822583075660464im
222.16920069999998,-0.0355493487213335 + 0.015855196548462593im
222.23348579999998,-0.03651643025866776 + 0.013414997310302127im
222.2977708,-0.0373161947575425 + 0.01091643920915951im
222.36205589999997,-0.037945166728064694 + 0.008370984760051447im
222.42634099999998,-0.038400655471070536 + 0.005790300009263388im
222.490626,-0.03868076673554922 + 0.003186200821475012im
222.55491109999997,-0.03878441070004417 + 0.0005705985195051178im
222.61919619999998,-0.038711306243701296 - 0.0020445548716801873im
222.6834812,-0.038461981489868194 - 0.004647321523366464im
222.7477663,-0.03803777062245463 - 0.007225832590059055im
222.81205139999997,-0.03744080699256545 - 0.009768342631865856im
222.87633639999999,-0.036674012550119844 - 0.012263283420993736im
222.9406215,-0.03574108365221072 - 0.014699316884088426im
223.00490659999997,-0.03464647331673712 - 0.01706538693633546im
223.06919169999998,-0.033395370006300495 - 0.019350769968554952im
223.1334767,-0.031993673043401366 - 0.021545123754958827im
223.1977618,-0.03044796477353842 - 0.023638534556748435im
223.26204689999997,-0.028765479607823604 - 0.025621562205282913im
223.32633189999999,-0.026954070091112513 - 0.027485282958109206im
223.390617,-0.0250221701553461 - 0.029221329931655264im
223.45490209999997,-0.02297875573073611 - 0.030821930925814818im
223.5191871,-0.02083330289955318 - 0.03227994346792386im
223.5834722,-0.018595743788528376 - 0.03358888691670187im
223.6477573,-0.01627642040620424 - 0.03474297148053547im
223.71204239999997,-0.013886036640931538 - 0.03573712401895191im
223.77632739999999,-0.011435608643546603 - 0.03656701051120633im
223.8406125,-0.008936413826051731 - 0.037229055091500804im
223.90489759999997,-0.006399938713826658 - 0.03772045556641393im
223.9691826,-0.0038378258939803568 - 0.03803919534655097im
224.0334677,-0.0012618203064066343 - 0.03818405174116053im
224.0977528,0.0013162848731014193 - 0.03815460058142285im
224.1620378,0.0038847025066955356 - 0.03795121715521703im
224.22632289999999,0.006431705673837807 - 0.037575073453336064im
224.290608,0.008945681505473087 - 0.037028131744269194im
224.354893,0.011415184424183229 - 0.03631313451171468im
224.4191781,0.01382898854455013 - 0.03543359080585728im
224.4834632,0.016176138992150313 - 0.03439375907605792im
224.5477483,0.018446001904919285 - 0.033198626568878314im
224.6120333,0.02062831288704634 - 0.031853885391230054im
224.67631839999999,0.02271322369303386 - 0.030365905353819125im
224.7406035,0.0246913469280735 - 0.02874170372488098im
224.8048885,0.02655379856038705 - 0.02698891203839816im
224.8691736,0.02829223805162292 - 0.02511574011450421im
224.9334587,0.0298989059227335 - 0.02313093746252498im
224.9977437,0.03136665858493022 - 0.021043752249053565im
225.0620288,0.03268900027826507 - 0.018863888024524985im
225.12631389999999,0.03386011197405764 - 0.016601458411909662im
225.190599,0.034874877111707864 - 0.014266939970337322im
225.254884,0.035728904055342854 - 0.011871123454637698im
225.3191691,0.03641854517116565 - 0.009425063698928149im
225.3834542,0.036940912442237364 - 0.006940028358436419im
225.4477392,0.03729388955364782 - 0.004427445748705076im
225.5120243,0.03747614039754896 - 0.001898852025161115im
225.57630939999999,0.03748711396425022 + 0.0006341620512762577im
225.6405944,0.03732704560243356 + 0.0031600045153322115im
225.7048795,0.03699695464845937 + 0.0056671355176572125im
225.7691646,0.03649863844161673 + 0.008144120317425051im
225.8334497,0.03583466275895222 + 0.010579681702341907im
225.8977347,0.035008348719904464 + 0.012962751594233034im
225.9620198,0.034023756227304976 + 0.015282521602553637im
226.02630489999999,0.032885664027298485 + 0.017528492293472083im
226.0905899,0.031599546486317465 + 0.019690520948536332im
226.154875,0.030171547198341885 + 0.021758867594349987im
226.2191601,0.028608449550214587 + 0.023724239093106718im
226.2834451,0.026917644386701862 + 0.02557783109321622im
226.3477302,0.025107094930220085 + 0.027311367649565883im
226.4120153,0.023185299122631644 + 0.028917138334140585im
226.4763003,0.021161249568196847 + 0.03038803266971721im
226.5405854,0.01904439126758388 + 0.03171757173210683im
226.6048705,0.016844577342758918 + 0.032899936779867855im
226.6691556,0.01457202296153736 + 0.03392999478449933im
226.7334406,0.012237257678548382 + 0.03480332074877206im
226.7977257,0.009851076416310434 + 0.03551621671600529im
226.8620108,0.007424489315994236 + 0.03606572738866268im
226.9262958,0.004968670692260419 + 0.03644965229056502im
226.9905809,0.0024949073302474828 + 0.03666655442321044im
227.054866,1.4546365371711233e-5 + 0.03671576538308515im
227.119151,-0.002461057011951162 + 0.0365973869233627im
227.1834361,-0.00492059178423666 + 0.03631228895994717im
227.2477212,-0.007352843025898063 + 0.03586210403833349im
227.3120063,-0.009746743273579508 + 0.035249218294175856im
227.3762913,-0.01209142311123244 + 0.03447675895666746im
227.4405764,-0.014376260737469117 + 0.03354857845980106im
227.5048615,-0.01659093028795203 + 0.03246923524219085im
227.5691465,-0.01872544869185225 + 0.03124397133134864im
227.6334316,-0.020770220848704092 + 0.029878686823032616im
227.6977167,-0.022716082920252803 + 0.028379911380462447im
227.76200169999998,-0.02455434354110477 + 0.026754772891760766im
227.8262868,-0.026276822762095173 + 0.02501096343686517im
227.8905719,-0.02787588855123602 + 0.023156702727307157im
227.95485689999998,-0.029344490688847508 + 0.021200699193616425im
228.019142,-0.030676191905951826 + 0.01915210890562715im
228.0834271,-0.031865196128153896 + 0.01702049252059706im
228.1477122,-0.03290637370099403 + 0.0148157704627439im
228.21199719999998,-0.033795283487060894 + 0.012548176545539153im
228.2762823,-0.0345281917399305 + 0.01022821025482183im
228.3405674,-0.035102087675186536 + 0.007866587916484766im
228.40485239999998,-0.03551469567429121 + 0.005474192977129948im
228.4691375,-0.03576448407286219 + 0.0030620256296410775im
228.5334226,-0.03585067050087026 + 0.0006411520180984799im
228.59770759999998,-0.03577322375835287 - 0.001777346742167928im
228.66199269999998,-0.03553286222634863 - 0.004182425493321088im
228.7262778,-0.03513104882882737 - 0.006563125677315057im
228.7905629,-0.03456998257735018 - 0.008908625458434592im
228.85484789999998,-0.033852586745953275 - 0.011208289095761416im
228.919133,-0.032982493739260196 - 0.013451715339323392im
228.9834181,-0.03196402673198858 - 0.015628784628788327im
229.04770309999998,-0.030802178172786687 - 0.01772970487969345im
229.11198819999998,-0.02950258525962363 - 0.019745055649307456im
229.1762733,-0.028071502507712093 - 0.021665830482280136im
229.24055829999998,-0.026515771544094936 - 0.023483477245198846im
229.30484339999998,-0.024842788275520247 - 0.025189936268999173im
229.3691285,-0.023060467588005906 - 0.02677767612881766im
229.4334136,-0.021177205747499372 - 0.028239726902282197im
229.49769859999998,-0.019201840681229786 - 0.029569710759343868im
229.56198369999998,-0.01714361032866823 - 0.030761869749519326im
229.6262688,-0.015012109259435311 - 0.031811090665753966im
229.69055379999998,-0.0128172437629721 - 0.032712926877992765im
229.75483889999998,-0.010569185621291508 - 0.03346361704386856im
229.819124,-0.008278324781634427 - 0.03406010061863381im
229.88340899999997,-0.00595522115033321 - 0.03450003010149633im
229.94769409999998,-0.003610555732622229 - 0.03478177997080041im
230.01197919999998,-0.001255081345523804 - 0.034904452275951396im
230.07626419999997,0.0011004268677429708 - 0.034867878869541034im
230.14054929999998,0.003445220893122717 - 0.034672620278721554im
230.20483439999998,0.005768629042950225 - 0.03431996123042159im
230.2691195,0.008060104668997927 - 0.033811902860429184im
230.33340449999997,0.010309274168203856 - 0.033151151651613635im
230.39768959999998,0.012505984061867387 - 0.03234110516154283im
230.46197469999998,0.014640346934033228 - 0.03138583461441683im
230.52625969999997,0.016702786020696712 - 0.030290064446507437im
230.59054479999998,0.018684078248325114 - 0.029059148908101327im
230.65482989999998,0.02057539552795784 - 0.027699045838237034im
230.7191149,0.022368344119799207 - 0.026216287741231126im
230.78339999999997,0.02405500189269048 - 0.024617950306059736im
230.84768509999998,0.025627953313108846 - 0.022911618521039553im
230.91197019999998,0.027080322009333475 - 0.02110535054688501im
230.97625519999997,0.028405800768091276 - 0.019207639521064624im
231.04054029999998,0.0295986788332895 - 0.017227373475388403im
231.10482539999998,0.030653866389301423 - 0.015173793556901481im
231.1691104,0.031566916124632124 - 0.013056450749386737im
231.23339549999997,0.03233404178558857 - 0.010885161299079037im
231.29768059999998,0.032952133643751505 - 0.00866996105352472im
231.3619656,0.03341877081551986 - 0.0064210589268656046im
231.42625069999997,0.03373223038671568 - 0.00414878970817543im
231.49053579999998,0.0338914933101142 - 0.001863566431809691im
231.5548208,0.033896247058746706 + 0.0004241674699595216im
231.6191059,0.033746885032829695 + 0.0027039860114591694im
231.68339099999997,0.033444502733141215 + 0.00496552827545212im
231.74767609999998,0.0329908907285199 + 0.007198545594204995im
231.8119611,0.03238852445983889 + 0.009392948074448215im
231.87624619999997,0.03164055093723922 + 0.011538850254616014im
231.94053129999998,0.03075077240152088 + 0.01362661568745403im
232.0048163,0.029723627034334975 + 0.015646900246714054im
232.0691014,0.02856416681511758 + 0.017590693963201377im
232.13338649999997,0.027278032635514482 + 0.019449361202861094im
232.19767149999998,0.025871426794286778 + 0.021214679007845683im
232.2619566,0.02435108300732724 + 0.02287887343056345im
232.32624169999997,0.022724234078387383 + 0.02443465370051581im
232.39052679999998,0.020998577386379585 + 0.025875244074238017im
232.4548118,0.019182238354623887 + 0.02719441322982548im
232.5190969,0.01728373207611878 + 0.028386501079287245im
232.58338199999997,0.015311923276793453 + 0.02944644288427107im
232.64766699999998,0.013275984805704527 + 0.030369790573492726im
232.7119521,0.011185354847257495 + 0.03115273117340468im
232.77623719999997,0.009049693055720467 + 0.031792102277213im
